Plant_ID,name,lat,lon
1122,Ames Electric Services Power Plant,42.02526,-93.60825
1131,Streeter Station,42.52711,-92.43966
1167,Muscatine Plant #1,41.38963,-91.05751
1206,Summit Lake,41.11325,-94.34694
1217,Earl F Wisdom,43.16041,-95.25702
1230,Cimarron River,37.15898,-100.76315
1233,Fort Dodge,37.73322,-99.95005
1240,Gordon Evans Energy Center,37.79066,-97.52158
1241,La Cygne,38.34810,-94.64470
1242,Murray Gill,37.59541,-97.41428
1248,Hutchinson Energy Center,38.09140,-97.87239
1250,Lawrence Energy Center,39.00783,-95.26948
1252,Tecumseh Energy Center,39.05400,-95.56868
1271,Coffeyville,37.03752,-95.61240
1295,Quindaro,39.15106,-94.63717
1317,Pratt,37.63706,-98.74318
1330,Wellington 1,37.26113,-97.40533
1336,Garden City,37.97021,-100.89536
1353,Big Sandy,38.17126,-82.61782
1355,E W Brown,37.78811,-84.71295
1356,Ghent,38.74865,-85.03699
1357,Green River,37.36348,-87.12166
1363,Cane Run,38.18333,-85.88897
1364,Mill Creek (KY),38.05265,-85.91079
1374,Elmer Smith,37.79434,-87.06061
1378,Paradise,37.25805,-86.97968
1379,Shawnee,37.15206,-88.77746
1382,HMP&L Station Two Henderson,37.64680,-87.50292
1384,Cooper,36.99821,-84.59199
1385,Dale,37.88064,-84.26211
1393,R S Nelson,30.28444,-93.29111
1394,Willow Glen,30.27372,-91.11619
1396,Coughlin Power Station,30.84420,-92.26186
1400,Teche,29.82290,-91.54298
1402,Little Gypsy,30.00507,-90.46160
1403,Nine Mile Point,29.94797,-90.14769
1409,Michoud,30.00803,-89.93736
1416,Arsenal Hill,32.51824,-93.76199
1417,Lieberman,32.70456,-93.96095
1439,Houma,29.58040,-90.72186
1447,Minden,32.60456,-93.29439
1449,Morgan City,29.69156,-91.18853
1455,Plaquemine,30.27352,-91.25664
1464,Big Cajun 1,30.67275,-91.35473
1507,William F Wyman,43.75090,-70.15657
1552,"CP Crane Power, LLC",39.32373,-76.36508
1553,Gould Street,39.26613,-76.60377
1554,Herbert A Wagner,39.17827,-76.52671
1564,Vienna Operations,38.48737,-75.82058
1571,Chalk Point LLC,38.54391,-76.68782
1572,Dickerson,39.20982,-77.46447
1573,Morgantown Generating Plant,38.35954,-76.97630
1588,Mystic Generating Station,42.39038,-71.06752
1590,Pilgrim Nuclear Power Station,41.94477,-70.57910
1595,Kendall Square Station,42.36401,-71.08065
1599,Canal,41.77050,-70.50923
1619,Brayton Point,41.71141,-71.19254
1642,Essential Power Massachusetts LLC,42.09268,-72.59239
1682,Cleary Flood,41.86527,-71.10618
1695,B C Cobb,43.25441,-86.24160
1702,Dan E Karn,43.64439,-83.84119
1710,J H Campbell,42.91024,-86.20287
1715,Palisades,42.32306,-86.31469
1720,J C Weadock,43.64007,-83.84526
1723,J R Whiting,41.79198,-83.44885
1729,Fermi,41.96295,-83.25716
1733,Monroe (MI),41.89152,-83.34581
1740,River Rouge,42.27350,-83.11244
1743,St Clair,42.76319,-82.47198
1745,Trenton Channel,42.12218,-83.18110
1769,Presque Isle,46.57910,-87.39539
1771,Escanaba,45.77191,-87.06498
1772,John H Warden,46.75544,-88.45564
1825,J B Sims,43.07032,-86.23407
1830,James De Young,42.79541,-86.11335
1831,Eckert Station,42.71850,-84.55827
1832,Erickson Station,42.69244,-84.65762
1843,Shiras,46.53067,-87.39178
1866,Wyandotte,42.20826,-83.14528
1888,Fox Lake,43.67273,-94.70758
1891,Syl Laskin,47.53034,-92.16195
1893,Clay Boswell,47.26074,-93.65298
1904,Black Dog,44.81085,-93.24970
1912,High Bridge,44.93328,-93.10789
1915,Allen S King,45.03039,-92.77888
1922,Monticello Nuclear Facility,45.33352,-93.84861
1925,Prairie Island,44.62164,-92.63322
1926,Red Wing,44.56913,-92.51678
1927,Riverside (MN),45.02087,-93.27475
1934,Wilmarth,44.19669,-94.00954
1943,Hoot Lake,46.29047,-96.04309
1979,Hibbing,47.42966,-92.93532
1980,Hutchinson Plant #1,44.89600,-94.36837
2001,New Ulm,44.31576,-94.45816
2018,Virginia,47.52188,-92.54164
2022,Willmar,45.12172,-95.05347
2039,Elk River,45.29673,-93.56084
2048,Sweatt,32.29341,-88.74570
2049,Jack Watson,30.43963,-89.02638
2050,Baxter Wilson,32.28371,-90.93010
2053,Rex Brown,32.35733,-90.21259
2059,L L Wilkins,34.18443,-90.56245
2062,Henderson,33.51723,-90.20920
2067,Yazoo,32.84599,-90.42082
2070,Moselle,31.52815,-89.30024
2076,Asbury,37.36142,-94.58927
2079,Hawthorn,39.13036,-94.47797
2080,Montrose,38.31102,-93.93477
2094,Sibley,39.17834,-94.18445
2098,Lake Road (MO),39.72492,-94.87710
2103,Labadie,38.56221,-90.83764
2104,Meramec,38.40238,-90.33573
2107,Sioux,38.91526,-90.29078
2123,Columbia (MO),38.96469,-92.31685
2132,Blue Valley,39.09209,-94.32615
2144,Marshall (MO),39.12214,-93.20691
2161,James River Power Station,37.10844,-93.25975
2167,New Madrid,36.51567,-89.56281
2168,Thomas Hill,39.55253,-92.63868
2171,Missouri City,39.23158,-94.30791
2187,J E Corette Plant,45.77570,-108.48135
2226,Canaday,40.69431,-99.70134
2240,Lon Wright,41.42773,-96.46216
2277,Sheldon,40.55982,-96.78436
2289,Fort Calhoun,41.52096,-96.07692
2291,North Omaha,41.33005,-95.94586
2322,Clark (NVE),36.08746,-115.05138
2324,Reid Gardner,36.65614,-114.63249
2330,Fort Churchill,39.12807,-119.13205
2336,Tracy,39.56329,-119.52328
2364,Merrimack,43.14141,-71.46880
2367,Schiller,43.09749,-70.78384
2378,B L England,39.29053,-74.63416
2388,Oyster Creek,39.81431,-74.20566
2393,Gilbert,40.56653,-75.16124
2398,Bergen Generating Station,40.83915,-74.02463
2403,PSEG Hudson Generating Station,40.74755,-74.07237
2406,PSEG Linden Generating Station,40.62122,-74.20704
2408,PSEG Mercer Generating Station,40.17886,-74.73385
2410,PSEG Salem Generating Station,39.46252,-75.53490
2411,PSEG Sewaren Generating Station,40.55599,-74.24655
2442,Four Corners,36.68976,-108.48099
2444,Rio Grande,31.80500,-106.54776
2446,Maddox,32.71455,-103.30161
2450,Reeves,35.17164,-106.60121
2451,San Juan,36.80234,-108.43850
2454,Cunningham,32.71429,-103.35443
2465,Animas,36.72489,-108.19179
2480,Danskammer Generating Station,41.57318,-73.96478
2490,Arthur Kill Generating Station,40.59155,-74.20011
2493,East River,40.72782,-73.97324
2497,Indian Point 2,41.27056,-73.95143
2500,Ravenswood,40.75912,-73.94546
2511,E F Barrett,40.61633,-73.64793
2516,Northport,40.92318,-73.34290
2517,Port Jefferson,40.94998,-73.07840
2535,Cayuga Operating Company,42.60186,-76.63461
2539,Bethlehem Energy Center,42.59433,-73.76323
2549,C R Huntley Generating Station,42.97024,-78.93126
2554,Dunkirk Generating Plant,42.49107,-79.34683
2589,Nine Mile Point Nuclear Station,43.52159,-76.40716
2594,Oswego Harbor Power,43.45878,-76.53170
2625,Bowline Point,41.20552,-73.96691
2682,S A Carlson,42.09355,-79.24778
2706,Asheville,35.47156,-82.54171
2712,Roxboro,36.48364,-79.07286
2718,G G Allen,35.18987,-81.00865
2720,Buck,35.71340,-80.37654
2721,James E. Rogers Energy Complex,35.21986,-81.75901
2723,Dan River,36.48625,-79.72082
2727,Marshall (NC),35.59739,-80.96459
2790,R M Heskett,46.86713,-100.88432
2817,Leland Olds,47.28098,-101.32069
2823,Milton R Young,47.06634,-101.21417
2824,Stanton,47.28678,-101.33213
2828,Cardinal,40.25203,-80.64872
2832,Miami Fort,39.11223,-84.80305
2835,FirstEnergy Ashtabula,41.90872,-80.77016
2836,Avon Lake,41.50430,-82.05494
2837,FirstEnergy Eastlake,41.67120,-81.44339
2838,FirstEnergy Lake Shore,41.53531,-81.64237
2840,Conesville,40.18447,-81.88057
2850,J M Stuart,38.63682,-83.69337
2866,FirstEnergy W H Sammis,40.53159,-80.63162
2872,Muskingum River,39.59107,-81.68032
2876,Kyger Creek,38.91493,-82.12841
2878,FirstEnergy Bay Shore,41.69162,-83.43812
2914,Dover,40.52070,-81.46775
2935,Orrville,40.85076,-81.76576
2936,Painesville,41.72645,-81.25401
2951,Horseshoe Lake,35.50839,-97.17973
2952,Muskogee,35.76123,-95.28841
2953,Mustang,35.47027,-97.67497
2956,Seminole (OK),34.96651,-96.72565
2963,Northeastern,36.42621,-95.70009
2964,Southwestern,35.10160,-98.35202
2965,Tulsa,36.11649,-95.99142
3000,Boomer Lake Station,36.14377,-97.06755
3006,Anadarko Plant,35.08468,-98.23034
3008,Mooreland,36.43720,-99.22488
3096,Brunot Island,40.46422,-80.04306
3118,Conemaugh,40.38454,-79.06033
3122,Homer City Generating Station,40.51264,-79.19577
3130,Seward (PA),40.40626,-79.03348
3131,Shawville,41.06712,-78.36585
3136,Keystone,40.65969,-79.34064
3138,New Castle Plant,40.93808,-80.36850
3140,Brunner Island,40.09622,-76.69600
3148,TalenEnergy Martins Creek,40.79796,-75.10597
3149,TalenEnergy Montour,41.07042,-76.66472
3161,Eddystone Generating Station,39.85933,-75.32424
3166,Peach Bottom,39.75922,-76.26878
3176,Hunlock Power Station,41.20147,-76.06942
3236,Manchester Street,41.81595,-71.40431
3251,H B Robinson,34.40278,-80.15830
3264,W S Lee,34.60249,-82.43522
3265,Oconee,34.79417,-82.89864
3287,McMeekin,34.05582,-81.21719
3295,Urquhart,33.43441,-81.91098
3297,Wateree,33.82665,-80.62247
3298,Williams,33.01579,-79.92942
3393,Allen Steam Plant,35.07406,-90.14871
3396,Bull Run,36.02045,-84.15689
3399,Cumberland (TN),36.39032,-87.65265
3403,Gallatin (TN),36.31534,-86.40071
3405,John Sevier,36.37632,-82.96320
3406,Johnsonville,36.03797,-87.98231
3407,Kingston,35.89831,-84.51885
3441,Nueces Bay,27.81912,-97.41939
3443,Victoria,28.78798,-97.01059
3452,Lake Hubbard,32.83664,-96.54610
3453,Mountain Creek,32.72352,-96.93640
3456,Newman,31.98354,-106.43223
3457,Lewis Creek,30.43580,-95.52077
3459,Sabine,30.02366,-93.87598
3460,Cedar Bayou,29.75016,-94.92561
3464,Greens Bayou,29.82166,-95.21941
3469,T H Wharton,29.94147,-95.53332
3470,W A Parish,29.47873,-95.63401
3476,Knox Lee,32.37671,-94.64159
3477,Lone Star,32.92153,-94.72282
3478,Wilkes,32.84800,-94.54802
3482,Jones,33.52430,-101.73954
3484,Nichols,35.28347,-101.74629
3485,Plant X,34.16608,-102.41089
3490,Graham,33.13487,-98.61200
3491,Handley,32.72743,-97.21850
3497,Big Brown,31.82027,-96.05587
3504,Stryker Creek,31.93973,-94.98995
3507,Trinidad (TX),32.12484,-96.10157
3548,Decker Creek,30.30383,-97.61288
3559,Silas Ray,25.91282,-97.52143
3576,Ray Olinger,33.06804,-96.45264
3601,Sim Gideon,30.14542,-97.27049
3602,Ty Cooke,33.52123,-101.79085
3604,J Robert Massengale,33.60337,-101.84108
3611,O W Sommers,29.30763,-98.32425
3612,V H Braunig,29.25695,-98.38218
3628,R W Miller,32.65831,-98.30946
3630,Pearsall,28.92772,-99.09196
3631,Sam Rayburn,28.89490,-97.13490
3644,Carbon,39.72709,-110.86450
3648,Gadsby,40.76873,-111.92843
3775,Clinch River,36.93326,-82.19932
3776,Glen Lyn,37.36989,-80.86336
3796,Bremo Bluff,37.70918,-78.28734
3797,Chesterfield,37.38288,-77.38205
3804,Possum Point,38.53783,-77.27926
3806,Surry,37.16619,-76.69772
3809,Yorktown,37.21504,-76.46181
3845,Transalta Centralia Generation,46.75593,-122.85741
3935,John E Amos,38.47372,-81.82237
3936,Kanawha River,38.20644,-81.42353
3938,Philip Sporn,38.96753,-81.92280
3943,FirstEnergy Fort Martin Power Station,39.71033,-79.92752
3944,FirstEnergy Harrison Power Station,39.38504,-80.33216
3947,Kammer,39.84604,-80.81891
3948,Mitchell (WV),39.82964,-80.81650
3954,Mt Storm,39.20077,-79.26378
3982,Bay Front,46.58718,-90.90184
3992,Blount Street,43.07919,-89.37429
4005,French Island,43.82907,-91.25974
4040,Port Washington Generating Station,43.38417,-87.86995
4041,South Oak Creek,42.84485,-87.82845
4042,Valley (WI),43.03041,-87.92410
4046,Point Beach Nuclear Plant,44.28112,-87.53602
4050,Edgewater,43.71561,-87.70597
4054,Nelson Dewey Generating Station,42.72289,-91.00870
4072,Pulliam,44.54012,-88.00852
4078,Weston,44.85813,-89.65001
4125,Manitowoc,44.08142,-87.65658
4143,Genoa,43.55915,-91.23230
4146,E J Stoneman Station,42.70826,-90.98475
4158,Dave Johnston,42.83815,-105.77705
4162,Naughton,41.75883,-110.59717
4195,Powerlane Plant,33.17068,-96.12684
4259,Endicott Station,42.03165,-84.75457
4266,Spencer,33.19752,-97.10646
4270,Waterford 3,29.99505,-90.47157
4271,John P Madgett,44.30225,-91.91251
4937,Thomas C Ferguson,30.55804,-98.37057
4939,Barney M Davis,27.60708,-97.31080
4940,Riverside (OK),35.99806,-95.95744
4941,Navajo,36.90390,-111.38880
6000,Donald C Cook,41.97568,-86.56548
6001,Joseph M Farley,31.22315,-85.11139
6002,James H Miller Jr,33.63124,-87.05787
6004,FirstEnergy Pleasants Power Station,39.36705,-81.29421
6008,Palo Verde,33.38693,-112.86445
6009,White Bluff,34.42263,-92.13894
6011,Calvert Cliffs Nuclear Power Plant,38.43454,-76.44191
6014,Brunswick Nuclear,33.95816,-78.00956
6015,Harris,35.63350,-78.95591
6016,Duck Creek,40.46592,-89.98460
6017,Newton,38.93586,-88.27673
6018,East Bend,38.90541,-84.85124
6019,W H Zimmer,38.86711,-84.22929
6020,Perry,41.80086,-81.14316
6021,Craig (CO),40.46334,-107.59035
6022,Braidwood Generation Station,41.24338,-88.22934
6023,Byron Generating Station,42.07424,-89.27923
6026,LaSalle Generating Station,41.24553,-88.66849
6030,Coal Creek,47.37796,-101.15692
6031,Killen Station,38.69154,-83.47990
6034,Belle River,42.77431,-82.49493
6035,Greenwood (MI),43.10547,-82.69736
6036,Catawba,35.05172,-81.06973
6038,McGuire,35.43261,-80.94849
6040,Beaver Valley,40.62217,-80.43311
6041,H L Spurlock,38.69981,-83.81714
6042,Manatee,27.60614,-82.34501
6043,Martin,27.05530,-80.56374
6045,St Lucie,27.34887,-80.24637
6051,Edwin I Hatch,31.93462,-82.34458
6052,Wansley,33.41338,-85.03305
6055,Big Cajun 2,30.72726,-91.36874
6056,Kahului,20.89644,-156.46252
6061,R D Morrow,31.21817,-89.39401
6064,Nearman Creek,39.17090,-94.69724
6065,Iatan,39.44759,-94.97989
6068,Jeffrey Energy Center,39.28617,-96.11665
6071,Trimble County,38.58496,-85.41212
6072,Grand Gulf,32.00900,-91.04777
6073,Victor J Daniel Jr,30.53284,-88.55640
6076,Colstrip,45.88287,-106.61279
6077,Gerald Gentleman,41.08152,-101.14130
6081,Stony Brook,42.19765,-72.51045
6082,Somerset Operating Co LLC,43.35681,-78.60402
6085,R M Schahfer,41.21699,-87.02443
6089,Lewis & Clark,47.67901,-104.15813
6090,Sherburne County,45.37836,-93.89656
6094,FirstEnergy Bruce Mansfield,40.63498,-80.41842
6095,Sooner,36.45405,-97.05282
6096,Nebraska City,40.62074,-95.77364
6098,Big Stone,45.30385,-96.50908
6099,Diablo Canyon,35.21099,-120.85506
6103,TalenEnergy Susquehanna,41.09209,-76.14831
6105,Limerick,40.22401,-75.58736
6106,Boardman,45.69344,-119.80681
6110,James A Fitzpatrick,43.52309,-76.39830
6112,Fort St Vrain,40.24455,-104.87464
6113,Gibson,38.37191,-87.76600
6115,Seabrook,42.89879,-70.84902
6118,PSEG Hope Creek Generating Station,39.46684,-75.53739
6122,R E Ginna Nuclear Power Plant,43.27766,-77.30890
6124,McIntosh,32.35701,-81.17131
6127,V C Summer,34.29812,-81.31481
6136,Gibbons Creek,30.62026,-96.08178
6137,A B Brown,37.90558,-87.71508
6138,Flint Creek,36.25568,-94.52413
6139,Welsh,33.05472,-94.84028
6145,Comanche Peak,32.29827,-97.78550
6146,Martin Lake,32.25979,-94.57063
6147,Monticello,33.09119,-95.03831
6149,Davis Besse,41.59677,-83.08660
6152,Sequoyah,35.22603,-85.09176
6153,Callaway,38.76079,-91.78140
6155,Rush Island,38.13135,-90.26332
6156,New Haven Harbor,41.28400,-72.90434
6165,Hunter,39.17359,-111.02901
6166,Rockport,37.92562,-87.03455
6168,North Anna,38.06053,-77.78989
6170,Pleasant Prairie,42.53815,-87.90372
6177,Coronado,34.57781,-109.27248
6178,Coleto Creek,28.71298,-97.21427
6179,Fayette Power Project,29.91590,-96.75189
6180,Oak Grove (TX),31.18208,-96.48776
6181,J T Deely,29.30771,-98.32290
6183,San Miguel,28.70433,-98.47646
6190,Brame Energy Center,31.39496,-92.71743
6193,Harrington,35.29881,-101.74673
6194,Tolk,34.18493,-102.56877
6195,John Twitty Energy Center,37.15203,-93.38884
6204,Laramie River Station,42.10902,-104.88173
6213,Merom,39.06635,-87.50991
